"filename","title","feature","role"
"./help/search-social-commerce/campaign-management/introduction/campaign-implemention-overview.md","Overview of implementing ad network accounts and campaigns","",""
"./help/search-social-commerce/campaign-management/introduction/monitor-performance-campaigns.md","Monitor and manage the performance of your campaigns","",""
"./help/search-social-commerce/campaign-management/introduction/google-conversion-data.md","'[!DNL Google Ads] conversion data'","",""
"./help/search-social-commerce/campaign-management/introduction/microsoft-conversion-data.md","'[!DNL Microsoft Advertising] conversion data'","",""
"./help/search-social-commerce/campaign-management/accounts/ad-network-account-about.md","About ad network accounts","",""
"./help/search-social-commerce/campaign-management/accounts/ad-network-account-manage.md","Manage ad network accounts","",""
"./help/search-social-commerce/campaign-management/accounts/update-skwcid-google.md","Update the s kwcid tracking code for a [!DNL Google Ads] account","",""
"./help/search-social-commerce/campaign-management/accounts/merchant-account-manage.md","Manage merchant accounts","",""
"./help/search-social-commerce/campaign-management/naver-tracking-only-account-implement.md","Implement [!DNL Naver] tracking-only accounts","",""
"./help/search-social-commerce/campaign-management/campaigns/campaign-management-options.md","Options for managing ad network campaigns","",""
"./help/search-social-commerce/campaign-management/campaigns/copy-paste.md","Create and edit campaign data in bulk using copy and paste","",""
"./help/search-social-commerce/campaign-management/campaigns/campaign-manage.md","Manage campaigns","",""
"./help/search-social-commerce/campaign-management/campaigns/campaign-settings-baidu.md","'[!DNL Baidu] campaign settings'","",""
"./help/search-social-commerce/campaign-management/campaigns/campaign-settings-google.md","'[!DNL Google Ads] campaign settings'","",""
"./help/search-social-commerce/campaign-management/campaigns/campaign-settings-microsoft.md","'[!DNL Microsoft Advertising] campaign settings'","",""
"./help/search-social-commerce/campaign-management/campaigns/campaign-settings-yahoo-japan.md","'[!DNL Yahoo! Japan Ads] campaign settings'","",""
"./help/search-social-commerce/campaign-management/campaigns/campaign-settings-yandex.md","'[!DNL Yandex] campaign settings'","",""
"./help/search-social-commerce/campaign-management/campaigns/ad-group-manage.md","Manage ad groups","",""
"./help/search-social-commerce/campaign-management/campaigns/ad-group-settings-baidu.md","'[!DNL Baidu] ad group settings'","",""
